code,Station,Latitude,Longitude,is_junction
BDHL,Badhal,27.2520587,75.4516454,FALSE
KHH,KICHHA,28.913427,79.519746,FALSE
SRKN,Sherekan,29.55519806,74.43499088,FALSE
BKKA,Bhukarka,29.23822731,74.75103096,FALSE
NHR,Nohar,29.19256274,74.77362782,FALSE
PRGD,Perungudi,12.975217,80.231363,FALSE
KNNA,Khinaniyan,29.34563726,74.71795706,FALSE
JKR,JAULKHERA,21.838466,78.216684,FALSE
BYS,BARSALI,21.909813,78.031361,FALSE
GW,GIRWAR,23.838186,78.936311,FALSE
DGD,DANGIDHAR,23.871771,79.019912,FALSE
DOD,DHODHAR,23.770741,75.103546,FALSE
GAJ,GANESHGANJ,23.895862,79.074633,FALSE
JNM,Jayanagar Majilpur Halt,22.168635,88.415324,FALSE
NSD,NASIRABAD,26.29446,74.716991,FALSE
PHA,PATHARIA,23.905726,79.192899,FALSE
NZB,NIZAMABAD,18.679165,78.103238,FALSE
RJO,RAJENDRA PUL,25.387447,86.010546,FALSE
ADT,ADUTURAI,11.009165,79.478668,FALSE
KMU,KUMBAKONAM,10.952962,79.388644,FALSE
MNM,MANAMADURAI JN,9.681539,78.45351,TRUE
GKP,GORAKHPUR JN,26.759311,83.381499,TRUE
VRM,VARNAMA,22.184274,73.169283,FALSE
GKC,GORAKHPUR CANT,26.750649,83.416821,FALSE
ITA,ITOLA,22.149889,73.156746,FALSE
BTU,BARAUT,29.09692,77.273006,FALSE
MOGA,Moga,30.817296,75.168467,FALSE
SIOB,SAMAKHIALI JN,23.309819,70.503394,TRUE
RDK,Rasheedpura Khori,27.713786,75.087121,FALSE
PVD,PEDDAVADIAPUDI,16.414205,80.612645,FALSE
YLM,ELLAMANCHILI,17.553652,82.85262,FALSE
CHPT,Chatrappatti,10.476971,77.655113,FALSE
JLD,JARWAL ROAD,27.120389,81.540406,FALSE
BRJN,BRAJRAJNAGAR,21.822718,83.923653,FALSE
CLJ,COLONELGANJ,27.137698,81.694178,FALSE
KTHL,KATHOLA,27.14655558,81.85566265,FALSE
MND,MUNDERWA,26.776435,82.903373,FALSE
SNSI,SAINAGAR SHIRDI,19.7807923,74.4806877,FALSE
DLJ,DHOLA JN,21.822549,71.738273,TRUE
PGW,PHAGWARA JN,31.21755575,75.76550198,TRUE
JUP,Jhunpa,28.777449,75.521553,FALSE
JSG,JHARSUGUDA JN,21.862274,84.017427,TRUE
KYW,KARCHHUE,26.23112444,84.20715351,FALSE
MHRN,MAHENDRANATH,26.000739,84.509909,FALSE
TKVR,TAPPA KHAJURIAY,25.807401,84.688889,FALSE
DPI,DODDAMPATTI,12.18134581,78.42225009,FALSE
AQG,ASHAPURA GOMAT,26.950232,71.892665,FALSE
NEA,NEYKKARAPATTI,11.612765,78.096697,FALSE
GRL,GORAUL,25.931049,85.318477,FALSE
KHI,KURHANI,25.979631,85.339288,FALSE
VNJ,TIRUPPUR VANJIPALAYAM,11.117791,77.265802,FALSE
CBF,COIMBATORE NORTH,11.019937,76.954304,FALSE
UMB,AMBALA CANT JN,30.338918,76.826966,TRUE
SRO,SIRATHU,25.650642,81.31786,FALSE
SJT,SHUJAATPUR,25.605607,81.401934,FALSE
BDNP,BIDANPUR,25.585017,81.442017,FALSE
MTPC,MOTIPURA CHAUKI,24.60933823,77.04829952,FALSE
HTZ,HATHIDAH JN,25.367027,85.987826,TRUE
DDNI,DUDHNOI,26.001459,90.76188,FALSE
RDE,RUNDHI,28.067751,77.350991,FALSE
IJ,ITAUNJA,27.081067,80.891234,FALSE
RMX,Ramsar,25.722252,70.866078,FALSE
PBE,PILIBHIT JN,28.614978,79.813946,TRUE
RMB,Rampura Beri,28.53013206,75.64547983,FALSE
MGS,MUGHAL SARAI JN,25.278149,83.11925,TRUE
RSWT,Ramgarh Shekhawati,28.169397,74.993046,FALSE
BKNA,BAKAINA HALT,29.0358,78.274731,FALSE
HBD,HOSHANGABAD,22.75274,77.715594,FALSE
ANA,ASLANA,23.860522,79.319493,FALSE
BNI,BUDNI,22.7871143,77.6812826,FALSE
DMGN,DHAMALGAON,27.325566,94.856569,FALSE
LKPL,LAKDIKAPUL,17.404048,78.463527,FALSE
BRUD,BARUD,22.052142,76.814085,FALSE
DVL,DEVLALI,19.897509,73.83729,FALSE
JRTR,Jurtara,22.253005,79.761272,FALSE
REWA,REWA,24.537122,81.250615,FALSE
DOK,DHOLKA,22.731982,72.433842,FALSE
NDR,NANDESARI,22.41833164,73.09527343,FALSE
MYG,MIYAGAM KARJAN,22.050722,73.120353,FALSE
MBA,MAHOBA,25.306914,79.849079,FALSE
JGZ,Jamgaon,22.418426,80.198945,FALSE
BHKH,BAGHOI KUSA,24.83990065,84.46243313,FALSE
NOLI,NOLI,28.746571,77.310771,FALSE
SUJR,SUJRA,29.012729,77.261341,FALSE
AMOD,Amod,21.99079117,72.86546468,FALSE
LKD,LAKODARA,21.991872,73.098994,FALSE
VKL,Vankal,21.43967393,73.23136644,FALSE
BY,BYCULLA,18.97695,72.833211,FALSE
BNR,BHAGWANPUR,25.85831672,85.30109021,FALSE
KTY,Kotturu,14.82678833,76.21354088,FALSE
BLMR,Bhalukmara,26.685532,94.143709,FALSE
ANJ,Anjangaon,21.16319975,77.31896505,FALSE
DEB,Debagram,23.685277,88.306807,FALSE
ELP,Achalpur,21.27760302,77.51926278,FALSE
BTY,Bethuadahari,23.610275,88.384597,FALSE
WARUD,Warud,20.74690548,78.65141943,FALSE
VLKN,Velankanni,10.68687717,79.84618069,FALSE
